#KEY: original 
#CATALOG NAME: NAH_G15_CAPS_C_FASC_43_50
#IMAGE NAME: 3887.png 
#LANGUAGE: LA 
#TRANSCRIBER NAME: AP
#DATE OF TRANSCRIPTION: May 12, 2020
#TRANSCRIPTION TIME: 2h
#STATUS: complete

#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1703-01-01 - 1711-12-31

100|110|130 - A
240 - B
120 - C
250 - D
90|130 - E
260 - F
270 - G
280 - H
80|140 - I
70 - L
60|150 - M
50|160 - N
40|170 - O
290 - P
300 - Q
30|180 - R
20|190 - S
10|200 - T
210 - U
220 - V
9 - X
8 - Z

11 - ab
21 - ac
31 - ad
41 - af
51 - al
61 - am
71 - an
81 - ar
91 - as
101 - at
111 - au
121 - ae
131 - absque
141 - admiral
151 - alioquin
161 - aliud
171 - aliter
181 - ante
191 - ante
201 - Angli
211 - atque
221 - autem
231 - Austria
241 - Ba
251 - be
261 - bi
271 - bo
281 - bu
291 - Bavaria

12 - Baro
22 - bene
32 - bohemi
42 - Ca
52 - ce
62 - ci
72 - co
82 - cu
92 - ct
102 - Capitane
112 - Campi Dux
122 - Caesar
132 - cito
142 - Colonel
152 - Comes
162 - Commissar
172 - Comendant
182 - Conera
192 - cum
202 - cur
212 - Da
222 - de
232 - di
242 - do
252 - Du
262 - Damia
272 - Deinde
282 - Domin
292 - Drava

13 - donec
23 - dudum
33 - dum
43 - Eo
53 - ef
63 - em
73 - en
83 - er
93 - es
103 - et
113 - ex
123 - ecce
133 - enim
143 - erga
153 - est
163 - etiam
173 - Excellentissim
183 - exinde
193 - extra
203 - Fa
213 - fe
223 - fi
233 - fo
243 - fu
253 - fl
263 - fr
273 - fere
283 - forte
293 - frustra

14 - Ga 
24 - ge
34 - gi
44 - go
54 - gu
64 - Galli
74 - General
84 - German
94 - Gratia
104 - Ha
114 - he
124 - hi 
134 - ho
144 - hu
154 - haec
164 - hinc
174 - Hispani
184 - Hollandi
194 - Hungari
204 - Ic
214 - Id
224 - il
234 - im
244 - in
254 - ideo
264 - il
274 - inde
284 - intell
294 - infanteri

15 - intra
25 - La
35 - le
45 - li
55 - lo
65 - lu
75 - Legal
85 - licet
95 - Ma
105 - me
115 - mi
125 - mo
135 - mu
145 - magis
155 - male
165 - Mediator
175 - Milit.
185 - Minist.
195 - multum
205 - Na
215 - ne
225 - ni
235 - no
245 - nu
255 - nam
265 - nec
275 - nihil
285 - nimirum
295 - non

16 - nostr.
26 - nunc
36 - ob
46 - oc
56 - om
66 - op
76 - or
86 - os
96 - ordines
106 - Pa
116 - pe
126 - pi
136 - po
146 - pu
156 - pecum
166 - penitus
176 - per
186 - post
196 - praeter
206 - Princeps
216 - Princip
226 - prius
236 - pro
246 - propter
256 - Prussia
266 - Qua
276 - que
286 - quae
296 - qui

17 - quo
27 - quu
37 - quando
47 - quare
57 - quasi
67 - quatenus
77 - quicquid
87 - quidem
97 - Ra
107 - re
117 - ri
127 - ro
137 - ru
147 - ratio
157 - Reg
167 - resolut
177 - Respublic
187 - rex
197 - rursus
207 - Sa
217 - se
227 - si
237 - so
247 - su
257 - satu
267 - semper
277 - senat
287 - serenitat
297 - Status Regni

18 - Sicut
28 - sunt
38 - super
48 - sveci
58 - Ta
68 - te
78 - ti
88 - to
98 - tu
108 - tr
118 - tandem
128 - tantum
138 - toties
148 - tunc
158 - Tartar
168 - tum
178 - Turci
188 - UL
198 - um
208 - un
218 - ur
228 - us
238 - ut
248 - unde
258 - undig
268 - usque
278 - va
288 - ve
298 - vi

19 - vo
29 - vu
39 - veneti
49 - verum
59 - vestr.
69 - Czar Moscov.
79 - Rex Stanis
89 - Menczi korv
99 - Mazeppa
109 - Sapia
119 - Magnus Dux
129 - Primas
139 - Cancellar
149 - Consiliar
159 - Dux
169 - Elector
179 - Palatin
189 - Praelat
199 - Referendan
209 - Respublica
219 - Secretar
229 - Thesauran
239 - Vajvoda
249 - Cosaci
259 - Itali
269 - Livonia
279 - Moldavia
289 - Moravia
299 - Moschovia

301 - Moschont
302 - Poloni
303 - Sabandia
304 - Siletia
305 - Litvani
306 - Transylvania
307 - Valachia
308 - Bonac
309 - Palati. Belsensis
310 - Palati. Cracovia
311 - Palati. Kiovia
312 - Palati. Masonia
313 - Palati. Podlachia
314 - Palati. Podolia
315 - Palati. Postrania
316 - Palati. Russia
317 - Palati. Ukrainia
318 - Palati. Volinia
319 - Constantinopol
320 - Dantisc
321 - Iareslavi
322 - Leopoli
323 - Lublin
324 - Stanislon
325 - Thoroni
326 - Varsani
327 - Bug
328 - Danubiu

329 - Vistula
330 - Priscia
331 - Narev
332 - Prezan
333 - Dresda
334 - Elbinga
335 - Grodno
336 - Lipsia
337 - Mazeppa
338|339|340|341|342|343|344|345|346|347|348|349|350|351|352|353 - <EMPTY>
354 - Datum 

355 - Ianuarÿ
366 - Februarÿ
357 - Marty
358 - Aprili
359 - Maÿ
360 - Junÿ
361 - Julÿ
362 - Augusti
363 - Septembr
364 - Octobr
365 - Nomvembr
366 - Decembr
367 - Centum
368 - Mille
