# Pairs judged from Ford's printed decipherments (Writings of JQA vol. 4) against the coded blocks in codes_ford_A.txt
# number<TAB>value<TAB>frame+block, Ford ref<TAB>C (fixed by neighbours / whole word) or M (split judged)
1144	pli	0014b1, Ford 4:16	C
1332	bi	0014b1, Ford 4:16	C
422	ned	0014b1, Ford 4:16	C
1238	gula	0014b1, Ford 4:16	C
1467	ric	0014b1, Ford 4:16	M
1587	tive	0014b1, Ford 4:16	M
751	trade	0014b1, Ford 4:16	C
# 1240 read in 0014b1 for "England" is probably 1290 (1290=England twice in 0066)
609	maintain	0014b1, Ford 4:16	C
911	order	0014b1, Ford 4:16	C
1048	council	0014b1, Ford 4:16	C
436	new	0014b1, Ford 4:16	C
539	em	0014b1, Ford 4:16	M
1127	ph	0014b1, Ford 4:16	M
698	as	0014b1, Ford 4:16	M
822	demand	0014b1, Ford 4:16 (also 0010b3)	C
175	hither	0014b1, Ford 4:16	C
249	so	0014b1, Ford 4:16	C
813	far	0014b1, Ford 4:16	C
381	st	0014b1, Ford 4:16	M
984	our	0014b1+b2, Ford 4:16	C
1050	country	0014b1, Ford 4:16	C
397	sus	0014b1, Ford 4:16	M
1121	pen	0014b1, Ford 4:16	M
812	ded	0014b1, Ford 4:16	C
# NOTE 0014b1: 552 stands for "though" (table thought); 1044+ 518 1433 = "connection" although 518=pect elsewhere in the same block (ex 518 ed); 252 1421+ = "still", not in Ford ("should still persist"); 72? stands for "commerce" (heavy blotted group, reading doubtful)
# CONFLICT 552 table=thought ford=though (probably the same group used for both; not a misread)
1243	ha	0014b2, Ford 4:16	C
910	cord	0014b2, Ford 4:16	C
366	now	0014b2, Ford 4:16	C
1208	general	0014b2, Ford 4:16	C
178	here	0014b2, Ford 4:16	C
# CONFLICT 178 table=hos ford=here (0014b2 "entertained here and"; table value M, Ford right)
453	vail	0014b2, Ford 4:16	C
554	thr	0014b2, Ford 4:16	M
930	ough	0014b2, Ford 4:16	M
938	out	0014b2, Ford 4:16	M
1211	Germany	0014b2, Ford 4:16	M
498	war	0014b2, Ford 4:16	C
1331	between	0014b2, Ford 4:16	C
464	very	0014b2, Ford 4:16	C
387	sue	0014b2, Ford 4:16	C
250	some	0014b2, Ford 4:16	C
118	consider	0014b2, Ford 4:16	C
1172	what	0014b2, Ford 4:16	C
488	upon	0014b2, Ford 4:16	C
689	mer	0014b2, Ford 4:16	C
1028	ci	0014b2, Ford 4:16	C
