1	Car	
2	nouveau, x/elle, s	
3	e	
4	o	
5	l	check says l'
6	commande	
7	obs	? written "ob,s"; could be ob/obs
8	monsieur	
9	en	
10	oblige	
11	affaire, s	
12	observe	
13	mu-nich	Munich
14	obten	
15	de	
16	occasion	
17	et	? reads "et"; check says ê or e
18	offen	
19	cassel	Cassel (long s)
20	moyen, s	
21	Office, ier, s	
22	do	
23	nation	
24	offre, s	
25	a	
26	oi	
27	oient	
28	de	
29	oir	
30	instance, s	
31	ois	
32	bon, ne, s	
33	oit	
34	ecri, t	
35	la	
36	om	
37	d	
38	on	
39	i	
40	ont	
41	au, x	aux
42	op	
43	ie	
44	oppose	
45	content	
46	or	
47	de la	
48	ordinaire, s	
49	ordre, s	
50	baron	
51	ne	
52	ordonne	
53	dispos, é	
54	ner	
55	os	
56	ce	
57	l	
58	ot	
59	e	
60	ou	
61	a	
62	ouvrage, s	
63	he-Hesse, ien	Hesse/Hessien
64	p	
65	con	
66	pa, is	
67	gre	
68	les pais bas	
69	baviere, varois	Bavière/Bavarois
70	la	
71	paix	
72	en	
73	Palatin, at	
74	commerce	
75	le Pape	
76	ia	
77	par	
78	a la	
79	parceque	
80	fort	
81	parle	
82	chose, s	
83	ni	? mark after i (ni'/n'i?)
84	Parlement	
85	dela	
86	mylord	
87	paroi	
88	autre, s	
89	part, i	
90	jusques	
91	est	
92	particulier	
93	is	
94	celui	
95	n	
96	pas	
97	de	
98	na	
99	pe	
100	afin de	
101	annulle la precedente	
102	cela	
103	penchant	
104	gna	
105	pendant	
106	cour, s	
107	pension, naire	
108	g	
109	per	
110	am-sterdam	Amsterdam
111	naturel	
112	personne, s	
113	de l'	
114	persua	
115	cla, -clause	
116	peu, t	
117	fi	? f with crossbar; alt si (long s)
118	moscou, vite, s	Moscovite
119	pi	
120	bli	
121	pla	
122	dela	
123	Ki	
124	ple	
125	ces	
126	it	
127	plenipotentiaire	
128	demande, s	
129	monseigneur	
130	pli	
131	an	
132	gne	
133	plo	
134	courier, s	
135	plus	
136	guerre	
137	plusieur, s	
138	bre, s	
139	po	
140	j'ay eu	
141	devoi, r	
142	mieux	
143	point	
144	berlin	
145	pologne, ois	
146	donc	
147	le	
148	port	
149	catolique, s	
150	portugal, ais	
151	et	
152	possede, ssion	possède/possession
153	couronne, s	
154	l	
155	possible, ilité	
156	a la	
157	pour	
158	gni	
159	pourtant	
160	clu-Cologne	syllable clu, or Cologne
161	ns	
162	flo-tte	flotte
163	pouvoir	
164	bi	
165	pra-Prague	
166	foi	
167	mi	
168	pre, s	
169	cher	
170	que	
171	preliminaire, s	
172	Duc	
173	Nimegue	
174	assist	
175	le Duc de Newcastle	
176	de	
177	present	
178	glé	
179	ne	
180	conclu	
181	lu	
182	examine	
183	preten	
184	au, x	aux
185	k	
186	pretext	
187	en	
188	infant, erie	infant/infanterie
189	pri	
190	le Card. de Tencin	written Cardl
191	prince	
192	garnison	
193	Pnce Charles de Lorraine	Prince
194	la Czarinne	
195	le	
196	Pnce Geo: de Hesse	Prince George
197	apre, s	après
198	Pnce Guillaume de Hesse	Prince
199	haut	
200	ec	
201	cri	
202	princesse	
203	fin	
204	m	
205	principal	
206	bourg	
207	maillebois	Maillebois
208	privilege, s	
209	di	
210	la Maison de	
211	pro	
212	camp	
213	la	
214	profit	
215	dans	
216	projet, s	
217	homme, s	
218	proposition, s	
219	angleterre, ois	Angleterre/Anglois
220	gi	
221	protest	
222	cra	
223	londres	
224	province, s	
225	c	
226	intelligence	
227	pru, dence	
228	danemarc, ois	Danemarc/Danois
229	majesté	
230	Prusse, ien, s	
231	at	
232	ire	
233	pu	
234	dri	
235	laisse	
236	publi, c	
237	bu	
238	puis	
239	id	
240	conserv, e	
241	puisque	
242	doute, s	
243	puissance, s	
244	a	
245	Hussart, s	
246	qua	
247	commen, t	
248	nous	
249	etranger, e, s	
250	lon, g	
251	quand	
