401	disput, e	
402	se	
403	fa	? sa (long s vs f; 382 is already sa)
404	Lorraine	
405	se	? fe (descending long s, same shape as 402)
406	besoin	
407	les	
408	se	
409	d.	? d (written "d." perhaps d')
410	ministre, s	
411	Seckendorf	
412	ce que	
413	im	
414	secret	
415	content	
416	impossible, ité, s	
417	selon	
418	accident	
419	maitre	
420	semble	
421	de	
422	moins	
423	sentiment	
424	cer, - cercle	
425	marque, s	
426	seul	
427	cro	
428	ministere	
429	seur	
430	avoir	
431	nir	
432	ser	
433	consequence, s	
434	le	
435	servi	
436	cha	
437	ses	
438	extraordinaire	
439	si	
440	deput, e	
441	sieur	
442	ap	? as (long s)
443	Italie, en, s	
444	Silesie	
445	donne	
446	no	
447	sion, s	
448	celle, s	
449	so	
450	ge	
451	soi - soin, s	
452	conven	
453	repete la precedente	
454	somme, s	
455	au, x	
456	lettre, s	
457	son	long s; ? fon
458	de	
459	fort	? sort (long s vs f)
460	fo	? so (long s vs f)
461	ca	
462	Gibraltar	
463	souhaite	
464	del	
465	ho	
466	sous	
467	a	
468	souvent	
469	fla	
470	ss	
471	compte, comte	
472	Sta. Mylord Stair	
473	hors	
474	Duchesse	
475	loi, t	
476	ste	
477	assur	
478	sti	
479	er, s	
480	nom	
481	connoi, s	
482	nos	
483	eu, x	
484	io	
485	sto	
486	bientot	
487	stu	long s
488	fra - Franconie	
489	ka	
490	su	? fu (long s vs f)
491	condition, s	
492	suabe	
493	etat, s	
494	meilleur	
495	subsi	
496	appris	
497	succez	
498	go	
499	Suede, ois	
500	cu	
501	ceux	
502	jour, s	
503	sujet	
504	extreme	
505	sui, s	
506	com, me	
507	t	
508	ic	
509	tout, e s	
510	asse	
511	toujours	
512	germanique	
513		
514	cle, Cleves	
515	tra	
516	fri	
517	ta	
518	beaucoup	
519	manque	
520		
521	effort, s	
522		
523	chancellier	
524	mon	
525		
526	fav, t	
527		
528	altesse	
529	tache	
530	l'Empire	
531		
532	libre, erté, s	
533	cas	
534	ko	
535		
536	d'abord	
537	ma	
538		
539	autriche, ien, s	
540	ke	
541	dont	
542	manufacture, s	
543	tant	
544	che, s	
545	necessaire, ité	
546	expli	
547	mediateur, tion	
548		
549	article, s	
550	tel, le	
551	l.	? l' (l followed by a dot/comma)
552	od	blotted "od" rewritten "od" beside it; ? ad
553	temoign, e	
554	chi, - chiffre	
555		
556	eveque	
557	temps	
558	inform, e	
559	Belleisle	
560	Imperial, aux	
561	depen	
562	que	
563	il y	
564	ce	
565	u	
566	envers	
567	lors	
568	w	
569	ag, e	
570	vos	
571	gard, e	
572	votre	
573	dantzig	
574	vou, s	
575	gir	
576	ut	
577	ble, s	
578	utile, ité	
579	francfort	
580	je suis	
581	condu	
582	utrecht	
583	fru	
584	leur, s	
585	westphalie	
586	ad	
587	whigs	
588	forme	
589	marquis	
590	wirtemberg	
591	chu	
592	x	
593	expedi	
594	montre	
595	xa	
596	bla	
597	xe	
598	gru	
599	xi	
600	Diette	
601	alli	
602	Hollande, ois	
603	te	
604	defen	
605	to	
606	flu	
607	Torys	
608	bru, - Bruxelles	
609	mande	
