id,level,name,url,published,author,solves,human_flagged,llm_flagged,first_llm_solve,human_solvers,llm_solvers,solution_public,attempts
231,2,The Lady Liz Challenge,https://mysterytwister.org/challenges/level-2/the-lady-liz-challenge,2025-02-10,Elijah Cross,0,0,0,,,,,15
227,2,The Hutton Cipher – Part 5,https://mysterytwister.org/challenges/level-2/the-hutton-cipher-part-5,2023-10-16,Eric Bond Hutton,0,0,0,,,,,15
235,2,"""The Road"" — Part 3",https://mysterytwister.org/challenges/level-2/the-road-part-3,2018-12-08,Marc Gutgesell,0,0,0,,,,,15
111,2,ASAC — A Strong(er) ADFGVX Cipher — Part 4,https://mysterytwister.org/challenges/level-2/asac--a-stronger-adfgvx-cipher--part-4,2016-07-09,Stefan Fendt,0,0,0,,,,,15
128,2,Double-Column Transposition/Granit — Part 3,https://mysterytwister.org/challenges/level-2/double-column-transposition-granit-part-3,2015-07-01,Jörg Drobick,0,0,0,,,,,10
127,2,Double-Column Transposition/Granit — Part 2,https://mysterytwister.org/challenges/level-2/double-column-transposition-granit-part-2,2015-07-01,Jörg Drobick,0,0,0,,,,,15
126,2,Double-Column Transposition/Granit — Part 1,https://mysterytwister.org/challenges/level-2/double-column-transposition-granit-part-1,2015-07-01,Jörg Drobick,0,0,0,,,,,15
163,2,Kaskade-S/T — Part 4,https://mysterytwister.org/challenges/level-2/kaskade-st--part-4,2011-05-05,Bernhard Esslinger,0,0,0,,,,,20
112,2,ASAC — A Strong(er) ADFGVX Cipher — Part 5,https://mysterytwister.org/challenges/level-2/asac--a-stronger-adfgvx-cipher--part-5,2016-07-09,Stefan Fendt,1,1,0,,chinafish,,,15
275,2,Weakened Granit — Part 2,https://mysterytwister.org/challenges/level-2/weakened-granit-part-2,2015-09-24,Jörg Drobick,1,0,1,2026-06-27,,Ron Stoner,,15
208,2,SIGABA CSP-2900 — Part 2,https://mysterytwister.org/challenges/level-2/sigaba-csp-2900-part-2,2021-07-31,Nils Kopal,2,2,0,,Jerva; George Lasry,,,15
