# corrections to transcription/155r.txt, checked against pages/f155r.jpg with the known key (22 Sept 2026)
# x = looped/tailed x-sign (e); r = the compact bold x/r-like sign without the tail (n)
line	old	new	reason
1	7:xQ	7:rQ	x->r: sign after : is compact r; font (ont)
1	f	4	the lone sign is the 4 (roy) with a long descender, not f: au roy
1	hJmm+xQ	hJmm+rQ	x->r: sign before Q compact r; disant
2	HxSm:xxx	HxSm:rrx	x->r x2: two compact r after :, looped x last; personne
2	f:xQSx	f:rQSx	x->r: sign after : compact r; contre
3	Dio+xQ	Dio+rQ	x->r: sign before Q compact r; ayant
3	hxQxppHm	hx QxppHm	a slash stands after hx on the image: de temps (two words)
3	xx	rx	x->r: first sign compact r; ne
5	ppxx+mmxm	ppxr+mmxm	x->r: 3rd sign compact r; menasses
6	zomxxQ	zomxrQ	x->r: sign before Q compact r; usent
6	f:ppH+idxDx	f:ppH+idrDx	x->r: sign after d compact r; compaignie
7	W+zo:xxxQ	W+zo:exrQ	first sign after : is the epsilon e with a loop below (i), last before Q compact r; l'avoient
7	+f:ppH+idxx	+f:ppH+idrx	x->r: sign after d compact r; accompagnee
8	Dm:x	Dm:r	x->r: compact r; (ma)ison
8	mxx	mxr	x->r: last sign compact r; s'en
9	mxxQ	mxrQ	x->r: sign before Q compact r; sont/sent
9	SxQ:zoSnxm	SxQ:zoSrxm	the sign after S is the compact r, not a minim pair; retournes
9	7+Jmm+xQ	7+Jmm+rQ	x->r: sign before Q compact r; faisant
10	hxSxDxs	hxSrDxs	x->r: sign after S compact r; dernier
10	xx	xr	x->r: second sign compact r; en
11	h+dxx	h+dxr	x->r: last sign compact r; d'avan(t)
11	Qxx:rxQ	Qxr:exrQ	re-read: Q x r : then a y-shaped fused ɛ+x sign (coded ex, = ie) then compact r; tenoient
11	HzodWDTzoxppxxQ	HzodWDTzoxppxrQ	x->r: sign before Q compact r; publiquement
13	7:xQ	7:rQ	x->r: sign after : compact r; font
13	+mmxppdWxSfm	+mmxppdWxffm	the pair after Wx is two plain f (ff = e), not S+f; assemblees
15	f+nnDQ+Dxx	f+HHDQ+Drx	the two signs after f+ are H H (crossbars), not minims; last-but-one compact r; cappitaine
15	f:xhiofQxioS	f:rhiofQxioS	x->r: sign after : compact r; conducteur
16	xxxio:ex	rxrio:ex	x->r x2: 1st and 3rd signs compact r; n'envoie
18	hrzodQx	h:zodQx	the sign after h is the ':' pair (faint), not r; doubte
18	xx	rx	x->r: first sign compact r; ne
18	dS+xh	dS+rh	x->r: sign after + compact r; grand
19	Dxf:xioxxrxQ	Drf:rioxrexrQ	x->r after D and after :, then x r, then the y-shaped fused ɛ+x (ex) and compact r; inconvenient
20	pp:xQ	pp:rQ	x->r: sign after : compact r; m'ont
20	Sxxhxio	Sxrhxio	x->r: 3rd sign compact r; rendu
20	xx	xr	x->r: second sign compact r; en
22	pp+Jnn:x	pp+Jnn:r	x->r: last sign compact r; maison
22	xxmQ	rxmQ	x->r: first sign compact r; n'est
22	xzofQ	rzofQ	x->r: first sign compact r; nuict
22	7:xQ	7:rQ	x->r: sign after : compact r; font
23	pp:xmidxzoS	pp:rmidxzoS	x->r: sign after : compact r; monsieur
24	f:ppH+Ddxixm	f:ppH+Ddrixm	x->r: sign after d compact r; compaignies
25	zoxx:rxQ	zoxr:exrQ	re-read as on line 11: zo x r : y-shaped ɛ+x (ex) compact r; venoient
25	:xQ	:rQ	x->r: compact r; ont
26	f:xQS+pp+xhxm	f:rQS+pp+rhxm	x->r x2: after : and after +; contremandes
26	mxx	mxr	x->r: last sign compact r; s'en
26	SxQ:zoSxxS	SxQ:zoSrxS	x->r: sign after S compact r; retourner
27	h:xxx	h:rrx	x->r x2: two compact r, looped x last; donne
27	zoxd	zord	x->r: middle sign compact r; un (+ d unexplained)
27	dS+xh	dS+rh	x->r: sign after + compact r; grand
28	f:xQxxQ+ppffxQ	f:rQxrQ+ppffrQ	x->r x3: after :, before 2nd Q, before last Q; contentement
29	f:xQixzoxS	f:rQirzoxS	x->r x2: after : and after i; continuer
