# corrections to transcription/155v.txt, checked against pages/f155v.jpg with the known key (22 Sept 2026)
# x = looped/tailed x-sign (e); r = the compact bold x/r-like sign without the tail (n)
line	old	new	reason
1	Hxxnn+xQ	Hxrnn+rQ	x->r x2: 3rd sign and sign before Q are compact r; pensant
2	xx	xr	x->r: second sign compact r; en
2	dS+xhxzoS	dS+rhxzoS	x->r: sign after + compact r; grandeur
3	f:xmxSio+Qi:x	f:rmxSio+Qi:r	x->r x2: after the first : and the final sign; conservation
5	xx	xr	x->r: second sign compact r; en
6	:dxdminn+xfx	:dxdminn+rfx	x->r: sign before f compact r; obeissance (d = b here)
6	Dzox	Tzox	first sign is θ (T), not ‡; que (ce que le roy)
7	dS+xhxzoS	dS+rhxzoS	x->r: sign after + compact r; grandeur
8	f:pppp+xhxS	f:pppp+rhxS	x->r: sign after + compact r; commander
8	dixx	dixr	x->r: last sign compact r; bien (d = b)
9	Dx+xQ	Dx+rQ	x->r: sign before Q compact r (as 154v Dx+rQ3)
10	W:xQ	W:rQ	x->r: sign after : compact r; l'ont
10	pp:xQ	pp:rQ	x->r: sign after : compact r; m'ont
11	pp:xxxm	pp:xxrm	x->r: last-but-one sign compact r; moyens
12	DzoWfxzoxxppxxQ	DzoWfzorxppxrQ	no x between f and zo; compact r after zo and before Q; aulcunement
12	xxmQ	rxmQ	x->r: first sign compact r; n'est
14	f:xQDxzoxxQ	f:rQDrzoxrQ	x->r x3: after :, after D, before last Q; continuent
14	7:xQ	7:rQ	x->r: sign after : compact r; font
15	D:zoSxxWWxppxxQ	D:zoSrxWWxppxrQ	x->r x2: after S and before Q; journellement
15	x:zoioxWWxm	r:zoioxWWxm	x->r: first sign compact r; nouvelles
15	f:ppH:nnDQixxm	f:ppH:nnDQixrm	x->r: last-but-one sign compact r; compositions
16	mixppxxQxppxm	mixppxrQxppxm	x->r: sign before Q compact r
16	xxio:xxxQ	xrio:xxrQ	x->r x2: 2nd sign and sign before Q compact r; envoient
17	3xnnnQxS	3xrnnQxS	the sign after x is a compact r followed by two minims, not three minims
17	ppxxio	ppxrio	x->r: 3rd sign compact r; menu (peuple)
18	dxxxx	dxrrx	x->r x2: 3rd and 4th signs compact r
18	SxxhSx	SxrhSx	x->r: 3rd sign compact r; rendre
19	dS+xhxzoS	dS+rhxzoS	x->r: sign after + compact r; grandeur
20	zoxd	zord	x->r: middle sign compact r; ung (d = g)
20	xxio:xx	xrio:ex	2nd sign compact r; after : the epsilon e (as 155r l.16 rxrio:ex); envoie
20	DxQdQzoWxxQ	DrQdQzoWxrQ	x->r x2: after D and before last Q; intitulent
21	f:ppdixx	f:ppdixr	x->r: last sign compact r; combien (d = b)
22	xx	xr	x->r: second sign compact r; en
22	xxzo:e	xrzo:e	x->r: second sign compact r; envoi(e)
24	ffmQ+xQ	ffmQ+rQ	x->r: sign before Q compact r; estant
24	pp:xQxS	pp:rQxS	x->r: sign after : compact r; monter
25	zoxx	zorx	x->r: middle sign compact r; une
26	zoxdS	zordS	x->r: 2nd sign compact r
27	h+dxx	h+dxr	x->r: last sign compact r; d'Agen (d = g)
27	hidxx	hidrx	x->r: 4th sign compact r; digne (d = g)
28	HSxxhSx	HSxrhSx	x->r: 4th sign compact r; prendre
28	dS+xhxzoS	dS+rhxzoS	x->r: sign after + compact r; grandeur
