# corrections to transcription/154v.txt, checked against pages/f154v.jpg with the known key (22 Sept 2026)
# x = looped/tailed x-sign (e); r = the compact bold x/r-like sign without the tail (n)
line	old	new	reason
1	Ddx:fxxQ	Ddr:fxrQ	x->r x2: 3rd and 7th signs are the compact r on the image; innocent (d for n)
1	f:mHDS+Qi:x	f:mHDS+Qi:r	x->r: final sign compact r; conspiration
1	f	4	the lone sign is the crossed 4 (roy), not f: que le roy leur
2	f:pp+xh+nnQ	f:pp+rh+nnQ	x->r: sign after + is compact r; commandant
2	SxHSxmxxQxS	SxHSxmxrQxS	x->r: sign before Q is compact r; representer
3	+HHiQ+ixxm	+HHiQ+irxm	x->r: first of the pair is compact r; (c)apitaines
3	SxmH:xhSx	SxmH:rhSx	x->r: sign after : is compact r; respondre
3	DQQxxhn	DQQxrhn	x->r: sign before h is compact r
4	3xxQ	3xrQ	x->r: sign before Q is compact r
4	fxhxio+xQ	fxhxio+rQ	x->r: sign after + is compact r; cydevant
5	HxSnn:xxx	HxSnn:rrx	x->r x2: two compact r after :, looped x last; personne
6	ffx	ffr	x->r: compact r; en (ff = e)
6	m:x	m:r	x->r: compact r; son
6	d:zoioxSxxppxxQ	d:zoioxSrxppxrQ	x->r x2: compact r after S and before Q; gouvernement
6	dxoxxxxx	dzoxxrrx	2nd sign is z (zo, as in d:zo...), 6th-7th are compact r; Guyenne
7	SxmdhxxQ	SxmdhxrQ	x->r: sign before Q compact r; resident
7	DHSxmxxQ	DHSxmxrQ	x->r: sign before Q compact r; a present
7	ffx	ffr	x->r: compact r; en
7	xxS+f	rxS+f	x->r: first sign compact r; Nerac
9	f:pppp+xhxppxxQ	f:pppp+rhxppxrQ	x->r x2: after + and before Q; commandement
9	Jixx	Jixr	x->r: last sign compact r; bien
10	pp3xoxx	pp3xoxr	x->r: last sign compact r with a flat tail; moyen
11	DzoWQSxppxxQ	DzoWQSxppxrQ	x->r: sign before Q compact r; autrement
12	Dx+xQ3	Dx+rQ3	x->r: sign after + compact r (the first x has the long loop)
15	xxQDxSxppxxQ	xrQDxSxppxrQ	x->r x2: before each Q; entierement
15	f:xmHDS+Qi:xm	f:rmHDS+Qi:rm	x->r x2: both signs after : are compact r; conspirations
16	xxQSxHSDxmxm	xrQSxHSDrmxm	x->r x2: 2nd sign and the sign after D are compact r; entreprinses
16	f:xQSxm+	f:rQSxm+	x->r: sign after : compact r; contre
17	m:x	m:r	x->r: compact r; son
18	pp:xmDxzos	pp:rmDxzos	x->r: sign after : compact r; monsieur
18	pp:xQWzof	pp:rQWzof	x->r: sign after : compact r; Montluc
19	mxx	mxr	x->r: last sign compact r; s'en
19	xx	xr	x->r: second sign compact r; en
20	zoxioWWxxQ	zoxioWWxrQ	x->r: sign before Q compact r; veullent
21	nnxSxoS	nnxSzoiS	"xo" is zo, and a small hook (i) stands before the last S; servir
21	pp+mTxoxm	pp+mTzoxm	"xo" is zo (Tzox = que, as elsewhere); mais ques
21	xx	xr	x->r: second sign compact r; en
21	h:xxx	h:rrx	x->r x2: two compact r, looped x last; donne
22	fxhxio+xQ	fxhxio+rQ	x->r: sign after + compact r; cydevant
22	+hioxSQDmmxppxxQ	+hioxSQDmmxppxrQ	x->r: sign before Q compact r; advertissement
23	dS+xhxzoS	dS+rhxzoS	x->r: sign after + compact r; grandeur
23	xx	rx	x->r: first sign compact r, second looped x; ne
24	SxxQffxhio	SxrQffrhio	x->r x2: before Q and after ff; entendu
24	ppxxxfSm	ppxrxfSm	x->r: 3rd sign compact r
25	7+fQi:xm	7+fQi:rm	x->r: sign after : compact r; factions
26	HxxhxxQ	HxrhxrQ	x->r x2: before h and before Q; pendant
27	dS+xh3	dS+rh3	x->r: sign after + compact r; grands
27	ppxx+nnmixm	ppxr+nnmixm	x->r: 3rd sign compact r; menasses
